Subject	Object	IRI	DiseaseLocation	Direct	Inherited
EFO:0000058	CS57666	http://www.ebi.ac.uk/efo/EFO_0000058		1	0
EFO:0000059	CS57671	http://www.ebi.ac.uk/efo/EFO_0000059		0	0
EFO:0000060	CS57677	http://www.ebi.ac.uk/efo/EFO_0000060		0	0
EFO:0000061	CS57691	http://www.ebi.ac.uk/efo/EFO_0000061		0	0
EFO:0000062	CS57692	http://www.ebi.ac.uk/efo/EFO_0000062		0	0
EFO:0000063	CS57699	http://www.ebi.ac.uk/efo/EFO_0000063		0	0
EFO:0000064	CS57701	http://www.ebi.ac.uk/efo/EFO_0000064		4	0
EFO:0000065	CS57704	http://www.ebi.ac.uk/efo/EFO_0000065		0	0
EFO:0000066	CS57705	http://www.ebi.ac.uk/efo/EFO_0000066		0	0
EFO:0000067	CS57706	http://www.ebi.ac.uk/efo/EFO_0000067		1	0
EFO:0000068	CS57709	http://www.ebi.ac.uk/efo/EFO_0000068		0	0
EFO:0000069	CS57710	http://www.ebi.ac.uk/efo/EFO_0000069		0	0
EFO:0000070	CS57714	http://www.ebi.ac.uk/efo/EFO_0000070		0	0
EFO:0000071	CS57715	http://www.ebi.ac.uk/efo/EFO_0000071		0	0
EFO:0000072	CS57716	http://www.ebi.ac.uk/efo/EFO_0000072		0	0
EFO:0000073	CS57717	http://www.ebi.ac.uk/efo/EFO_0000073		0	0
EFO:0000074	CS57719	http://www.ebi.ac.uk/efo/EFO_0000074		0	0
EFO:0000075	CS57722	http://www.ebi.ac.uk/efo/EFO_0000075		0	0
EFO:0000076	CS57727	http://www.ebi.ac.uk/efo/EFO_0000076		0	0
EFO:0000077	CS57731	http://www.ebi.ac.uk/efo/EFO_0000077		0	0
EFO:0000078	CS57732	http://www.ebi.ac.uk/efo/EFO_0000078		0	0
EFO:0000079	CS57733	http://www.ebi.ac.uk/efo/EFO_0000079		0	0
EFO:0000080	CS57735	http://www.ebi.ac.uk/efo/EFO_0000080		2	0
EFO:0000081	CS57737	http://www.ebi.ac.uk/efo/EFO_0000081		1	0
EFO:0000082	CS57740	http://www.ebi.ac.uk/efo/EFO_0000082		0	0
EFO:0000083	CS57742	http://www.ebi.ac.uk/efo/EFO_0000083		0	0
EFO:0000084	CS57743	http://www.ebi.ac.uk/efo/EFO_0000084		1	0
EFO:0000085	CS57750	http://www.ebi.ac.uk/efo/EFO_0000085		0	0
EFO:0000086	CS57751	http://www.ebi.ac.uk/efo/EFO_0000086		0	0
EFO:0000087	CS57752	http://www.ebi.ac.uk/efo/EFO_0000087		0	0
EFO:0000088	CS57753	http://www.ebi.ac.uk/efo/EFO_0000088		0	0
EFO:0000089	CS57758	http://www.ebi.ac.uk/efo/EFO_0000089		0	0
EFO:0000090	CS57769	http://www.ebi.ac.uk/efo/EFO_0000090		0	0
EFO:0000098	BY4741	http://www.ebi.ac.uk/efo/EFO_0000098		0	0
EFO:0000100	BY5251	http://www.ebi.ac.uk/efo/EFO_0000100		1	0
EFO:0000111	CS57770	http://www.ebi.ac.uk/efo/EFO_0000111		0	0
EFO:0000112	CS57771	http://www.ebi.ac.uk/efo/EFO_0000112		0	0
EFO:0000113	CS57776	http://www.ebi.ac.uk/efo/EFO_0000113		0	0
EFO:0000114	CS57777	http://www.ebi.ac.uk/efo/EFO_0000114		5	0
EFO:0000115	CS57778	http://www.ebi.ac.uk/efo/EFO_0000115		1	0
EFO:0000116	CS57779	http://www.ebi.ac.uk/efo/EFO_0000116		5	0
EFO:0000117	CS57783	http://www.ebi.ac.uk/efo/EFO_0000117		0	0
EFO:0000118	CS57785	http://www.ebi.ac.uk/efo/EFO_0000118		2	0
EFO:0000119	CS57789	http://www.ebi.ac.uk/efo/EFO_0000119		0	0
EFO:0000120	CS57790	http://www.ebi.ac.uk/efo/EFO_0000120		1	0
EFO:0000121	CS57801	http://www.ebi.ac.uk/efo/EFO_0000121		0	0
EFO:0000122	CS57803	http://www.ebi.ac.uk/efo/EFO_0000122		0	0
EFO:0000123	CS57807	http://www.ebi.ac.uk/efo/EFO_0000123		0	0
EFO:0000124	CS57810	http://www.ebi.ac.uk/efo/EFO_0000124		4	0
EFO:0000125	CS57811	http://www.ebi.ac.uk/efo/EFO_0000125		0	0
EFO:0000126	CS57812	http://www.ebi.ac.uk/efo/EFO_0000126		0	0
EFO:0000127	CS57813	http://www.ebi.ac.uk/efo/EFO_0000127		0	0
EFO:0000128	CS57816	http://www.ebi.ac.uk/efo/EFO_0000128		0	0
EFO:0000129	CS57820	http://www.ebi.ac.uk/efo/EFO_0000129		0	0
EFO:0000130	CS57822	http://www.ebi.ac.uk/efo/EFO_0000130		0	0
EFO:0000131	CS57823	http://www.ebi.ac.uk/efo/EFO_0000131		0	0
EFO:0000132	CS57824	http://www.ebi.ac.uk/efo/EFO_0000132		0	0
EFO:0000133	CS57825	http://www.ebi.ac.uk/efo/EFO_0000133		0	0
EFO:0000134	CS57826	http://www.ebi.ac.uk/efo/EFO_0000134		0	0
EFO:0000135	CS57827	http://www.ebi.ac.uk/efo/EFO_0000135		0	0
EFO:0000136	CS57828	http://www.ebi.ac.uk/efo/EFO_0000136		0	0
EFO:0000137	CS57834	http://www.ebi.ac.uk/efo/EFO_0000137		0	0
EFO:0000138	CS57835	http://www.ebi.ac.uk/efo/EFO_0000138		1	0
EFO:0000139	CS57836	http://www.ebi.ac.uk/efo/EFO_0000139		0	0
EFO:0000140	CS57840	http://www.ebi.ac.uk/efo/EFO_0000140		0	0
EFO:0000141	CS57842	http://www.ebi.ac.uk/efo/EFO_0000141		1	0
EFO:0000142	CS57843	http://www.ebi.ac.uk/efo/EFO_0000142		1	0
EFO:0000143	CS57847	http://www.ebi.ac.uk/efo/EFO_0000143		0	0
EFO:0000144	CS57848	http://www.ebi.ac.uk/efo/EFO_0000144		0	0
EFO:0000145	CS57850	http://www.ebi.ac.uk/efo/EFO_0000145		0	0
EFO:0000146	CS57854	http://www.ebi.ac.uk/efo/EFO_0000146		1	0
EFO:0000147	CS57858	http://www.ebi.ac.uk/efo/EFO_0000147		0	0
EFO:0000148	CS57859	http://www.ebi.ac.uk/efo/EFO_0000148		0	0
EFO:0000149	CS57867	http://www.ebi.ac.uk/efo/EFO_0000149		0	0
EFO:0000150	CS57870	http://www.ebi.ac.uk/efo/EFO_0000150		0	0
EFO:0000151	CS57871	http://www.ebi.ac.uk/efo/EFO_0000151		0	0
EFO:0000152	CS57873	http://www.ebi.ac.uk/efo/EFO_0000152		0	0
EFO:0000153	CS57874	http://www.ebi.ac.uk/efo/EFO_0000153		0	0
EFO:0000154	CS57875	http://www.ebi.ac.uk/efo/EFO_0000154		0	0
EFO:0000155	CS57876	http://www.ebi.ac.uk/efo/EFO_0000155		0	0
EFO:0000156	CS57883	http://www.ebi.ac.uk/efo/EFO_0000156		0	0
EFO:0000157	CS57884	http://www.ebi.ac.uk/efo/EFO_0000157		0	0
EFO:0000158	CS57886	http://www.ebi.ac.uk/efo/EFO_0000158		0	0
EFO:0000159	CS57890	http://www.ebi.ac.uk/efo/EFO_0000159		0	0
EFO:0000160	CS57896	http://www.ebi.ac.uk/efo/EFO_0000160		0	0
EFO:0000161	CS57901	http://www.ebi.ac.uk/efo/EFO_0000161		0	0
EFO:0000162	CS57904	http://www.ebi.ac.uk/efo/EFO_0000162		0	0
EFO:0000163	CS57905	http://www.ebi.ac.uk/efo/EFO_0000163		0	0
EFO:0000164	CS57908	http://www.ebi.ac.uk/efo/EFO_0000164		0	0
EFO:0000165	CS57923	http://www.ebi.ac.uk/efo/EFO_0000165		0	0
EFO:0000166	CS57924	http://www.ebi.ac.uk/efo/EFO_0000166		0	0
EFO:0000167	CS8581	http://www.ebi.ac.uk/efo/EFO_0000167		0	0
EFO:0000175	FUM1	http://www.ebi.ac.uk/efo/EFO_0000175		0	0
EFO:0000176	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176		1	0
EFO:0000179	Goto-Kakizaki	http://www.ebi.ac.uk/efo/EFO_0000179		0	0
EFO:0000180	HIV-1 infection	http://www.ebi.ac.uk/efo/EFO_0000180		13	0
EFO:0000187	Kaposi's sarcoma cell	http://www.ebi.ac.uk/efo/EFO_0000187		0	0
EFO:0000195	metabolic syndrome	http://www.ebi.ac.uk/efo/EFO_0000195		708	0
EFO:0000244	adult midgut precursor	http://www.ebi.ac.uk/efo/EFO_0000244		2	0
EFO:0000246	age	http://www.ebi.ac.uk/efo/EFO_0000246		11	1807
EFO:0000254	anal pad specific anlage	http://www.ebi.ac.uk/efo/EFO_0000254		2	0
EFO:0000258	antennal primordium2	http://www.ebi.ac.uk/efo/EFO_0000258		0	0
EFO:0000260	anterior endoderm anlage in statu nascendi	http://www.ebi.ac.uk/efo/EFO_0000260		0	0
EFO:0000261	anterior endoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000261		0	0
EFO:0000263	anterior spiracle specific anlage	http://www.ebi.ac.uk/efo/EFO_0000263		1	0
EFO:0000264	antibody	http://www.ebi.ac.uk/efo/EFO_0000264		46	0
EFO:0000266	aortic stenosis	http://www.ebi.ac.uk/efo/EFO_0000266	UBERON:0000947	13	0
EFO:0000269	array design	http://www.ebi.ac.uk/efo/EFO_0000269		0	0
EFO:0000273	atmosphere	http://www.ebi.ac.uk/efo/EFO_0000273		0	0
EFO:0000283	behavioral stimulus	http://www.ebi.ac.uk/efo/EFO_0000283		0	0
EFO:0000287	biopsy number	http://www.ebi.ac.uk/efo/EFO_0000287		0	0
EFO:0000288	biopsy site	http://www.ebi.ac.uk/efo/EFO_0000288		0	0
EFO:0000312	cancer site	http://www.ebi.ac.uk/efo/EFO_0000312		0	0
EFO:0000315	cardiac mesoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000315		0	0
EFO:0000323	cell property	http://www.ebi.ac.uk/efo/EFO_0000323		4	25
EFO:0000324	cell type	http://www.ebi.ac.uk/efo/EFO_0000324		2	14
EFO:0000325	cellular modification	http://www.ebi.ac.uk/efo/EFO_0000325		0	0
EFO:0000336	chromosomal aberration	http://www.ebi.ac.uk/efo/EFO_0000336		6	5
EFO:0000344	circular visceral mesoderm primordium	http://www.ebi.ac.uk/efo/EFO_0000344		1	0
EFO:0000347	classifier prediction	http://www.ebi.ac.uk/efo/EFO_0000347		0	0
EFO:0000352	clinical history	http://www.ebi.ac.uk/efo/EFO_0000352		21	225
EFO:0000355	clinical treatment protocol	http://www.ebi.ac.uk/efo/EFO_0000355		2	82
EFO:0000368	minor histocompatibility congenic strain	http://www.ebi.ac.uk/efo/EFO_0000368		0	0
EFO:0000369	compound based treatment	http://www.ebi.ac.uk/efo/EFO_0000369		4	0
EFO:0000370	chemically induced mutation	http://www.ebi.ac.uk/efo/EFO_0000370		2	0
EFO:0000375	array control spike calibration	http://www.ebi.ac.uk/efo/EFO_0000375		0	0
EFO:0000386	crystal cell specific anlage	http://www.ebi.ac.uk/efo/EFO_0000386		0	0
EFO:0000388	electrical current	http://www.ebi.ac.uk/efo/EFO_0000388		7	0
EFO:0000391	damage intensity	http://www.ebi.ac.uk/efo/EFO_0000391		0	0
EFO:0000393	Robertsonian translocation	http://www.ebi.ac.uk/efo/EFO_0000393		2	0
EFO:0000395	delivery method	http://www.ebi.ac.uk/efo/EFO_0000395		0	0
EFO:0000397	dermal neurofibroma	http://www.ebi.ac.uk/efo/EFO_0000397		0	0
