Subject	Object	IRI
CHEBI:16247	phospholipid	http://purl.obolibrary.org/obo/CHEBI_16247
CHEBI:16335	adenosine	http://purl.obolibrary.org/obo/CHEBI_16335
CHEBI:16336	hyaluronic acid	http://purl.obolibrary.org/obo/CHEBI_16336
CHEBI:16526	carbon dioxide	http://purl.obolibrary.org/obo/CHEBI_16526
CHEBI:16541	protein polypeptide chain	http://purl.obolibrary.org/obo/CHEBI_16541
CHEBI:16646	carbohydrate	http://purl.obolibrary.org/obo/CHEBI_16646
CHEBI:16666	prephenic acid	http://purl.obolibrary.org/obo/CHEBI_16666
CHEBI:16670	peptide	http://purl.obolibrary.org/obo/CHEBI_16670
CHEBI:166902	noradrenaline(1+)	http://purl.obolibrary.org/obo/CHEBI_166902
CHEBI:16701	nucleoside 5'-phosphate	http://purl.obolibrary.org/obo/CHEBI_16701
CHEBI:16708	adenine	http://purl.obolibrary.org/obo/CHEBI_16708
CHEBI:16716	benzene	http://purl.obolibrary.org/obo/CHEBI_16716
CHEBI:167164	mineral nutrient	http://purl.obolibrary.org/obo/CHEBI_167164
CHEBI:16733	D-alpha-amino acid	http://purl.obolibrary.org/obo/CHEBI_16733
CHEBI:167559	glycan	http://purl.obolibrary.org/obo/CHEBI_167559
CHEBI:16761	ADP	http://purl.obolibrary.org/obo/CHEBI_16761
CHEBI:16765	tryptamine	http://purl.obolibrary.org/obo/CHEBI_16765
CHEBI:16796	melatonin	http://purl.obolibrary.org/obo/CHEBI_16796
CHEBI:16862	nucleoside 5'-diphosphate	http://purl.obolibrary.org/obo/CHEBI_16862
CHEBI:16865	gamma-aminobutyric acid	http://purl.obolibrary.org/obo/CHEBI_16865
CHEBI:16988	D-ribose	http://purl.obolibrary.org/obo/CHEBI_16988
CHEBI:16990	bilirubin IXalpha	http://purl.obolibrary.org/obo/CHEBI_16990
CHEBI:16991	deoxyribonucleic acid	http://purl.obolibrary.org/obo/CHEBI_16991
CHEBI:16998	D-phenylalanine	http://purl.obolibrary.org/obo/CHEBI_16998
CHEBI:17026	progesterone	http://purl.obolibrary.org/obo/CHEBI_17026
CHEBI:17029	chitin	http://purl.obolibrary.org/obo/CHEBI_17029
CHEBI:17087	ketone	http://purl.obolibrary.org/obo/CHEBI_17087
CHEBI:17089	glycoprotein	http://purl.obolibrary.org/obo/CHEBI_17089
CHEBI:17234	glucose	http://purl.obolibrary.org/obo/CHEBI_17234
CHEBI:17258	7H-purine	http://purl.obolibrary.org/obo/CHEBI_17258
CHEBI:17272	propionate	http://purl.obolibrary.org/obo/CHEBI_17272
CHEBI:17295	L-phenylalanine	http://purl.obolibrary.org/obo/CHEBI_17295
CHEBI:173084	ferroptosis inhibitor	http://purl.obolibrary.org/obo/CHEBI_173084
CHEBI:173085	ferroptosis inducer	http://purl.obolibrary.org/obo/CHEBI_173085
CHEBI:17326	nucleoside 5'-triphoshate	http://purl.obolibrary.org/obo/CHEBI_17326
CHEBI:17347	testosterone	http://purl.obolibrary.org/obo/CHEBI_17347
CHEBI:17478	aldehyde	http://purl.obolibrary.org/obo/CHEBI_17478
CHEBI:17544	hydrogencarbonate	http://purl.obolibrary.org/obo/CHEBI_17544
CHEBI:17578	toluene	http://purl.obolibrary.org/obo/CHEBI_17578
CHEBI:17579	beta-carotene	http://purl.obolibrary.org/obo/CHEBI_17579
CHEBI:17608	D-aldohexose	http://purl.obolibrary.org/obo/CHEBI_17608
CHEBI:17634	D-glucose	http://purl.obolibrary.org/obo/CHEBI_17634
CHEBI:176497	geroprotector	http://purl.obolibrary.org/obo/CHEBI_176497
CHEBI:17668	ribonucleoside diphosphat	http://purl.obolibrary.org/obo/CHEBI_17668
CHEBI:17761	ceramide	http://purl.obolibrary.org/obo/CHEBI_17761
CHEBI:17843	transfer RNA	http://purl.obolibrary.org/obo/CHEBI_17843
CHEBI:17891	donor	http://purl.obolibrary.org/obo/CHEBI_17891
CHEBI:17895	L-tyrosine	http://purl.obolibrary.org/obo/CHEBI_17895
CHEBI:17968	butyrate	http://purl.obolibrary.org/obo/CHEBI_17968
CHEBI:17972	ribonucleoside triphosphate	http://purl.obolibrary.org/obo/CHEBI_17972
CHEBI:18059	lipid	http://purl.obolibrary.org/obo/CHEBI_18059
CHEBI:18085	glycosaminoglycan	http://purl.obolibrary.org/obo/CHEBI_18085
CHEBI:18133	hexose	http://purl.obolibrary.org/obo/CHEBI_18133
CHEBI:18154	polysaccharide	http://purl.obolibrary.org/obo/CHEBI_18154
CHEBI:18186	tyrosine	http://purl.obolibrary.org/obo/CHEBI_18186
CHEBI:18237	glutamic acid	http://purl.obolibrary.org/obo/CHEBI_18237
CHEBI:18243	dopamine	http://purl.obolibrary.org/obo/CHEBI_18243
CHEBI:18246	(1->4)-beta-D-glucan	http://purl.obolibrary.org/obo/CHEBI_18246
CHEBI:18248	iron atom	http://purl.obolibrary.org/obo/CHEBI_18248
CHEBI:18254	ribonucleoside	http://purl.obolibrary.org/obo/CHEBI_18254
CHEBI:18282	nucleobase	http://purl.obolibrary.org/obo/CHEBI_18282
CHEBI:18295	histamine	http://purl.obolibrary.org/obo/CHEBI_18295
CHEBI:18310	alkane	http://purl.obolibrary.org/obo/CHEBI_18310
CHEBI:18357	(R)-noradrenaline	http://purl.obolibrary.org/obo/CHEBI_18357
CHEBI:18367	phosphate(3-)	http://purl.obolibrary.org/obo/CHEBI_18367
CHEBI:190295	inorganic calcium salt	http://purl.obolibrary.org/obo/CHEBI_190295
CHEBI:194548	4-[1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol	http://purl.obolibrary.org/obo/CHEBI_194548
CHEBI:20664	5beta-cholane	http://purl.obolibrary.org/obo/CHEBI_20664
CHEBI:20706	6-aminopurines	http://purl.obolibrary.org/obo/CHEBI_20706
CHEBI:21638	N-acylglucosamine	http://purl.obolibrary.org/obo/CHEBI_21638
CHEBI:21656	N-acyl-hexosamine	http://purl.obolibrary.org/obo/CHEBI_21656
CHEBI:21731	N-glycosyl compound	http://purl.obolibrary.org/obo/CHEBI_21731
CHEBI:21968	O-phosphoamino acid	http://purl.obolibrary.org/obo/CHEBI_21968
CHEBI:22160	acetamides	http://purl.obolibrary.org/obo/CHEBI_22160
CHEBI:22221	acyl group	http://purl.obolibrary.org/obo/CHEBI_22221
CHEBI:22256	adenosine phosphate	http://purl.obolibrary.org/obo/CHEBI_22256
CHEBI:22260	adenosines	http://purl.obolibrary.org/obo/CHEBI_22260
CHEBI:22313	alkaline earth metal atom	http://purl.obolibrary.org/obo/CHEBI_22313
CHEBI:22314	alkali metal atom	http://purl.obolibrary.org/obo/CHEBI_22314
CHEBI:22315	alkaloid	http://purl.obolibrary.org/obo/CHEBI_22315
CHEBI:22492	amino aldehyde	http://purl.obolibrary.org/obo/CHEBI_22492
CHEBI:22506	aminoglycan	http://purl.obolibrary.org/obo/CHEBI_22506
CHEBI:22527	aminopurine	http://purl.obolibrary.org/obo/CHEBI_22527
CHEBI:22563	anion	http://purl.obolibrary.org/obo/CHEBI_22563
CHEBI:22586	antioxidant	http://purl.obolibrary.org/obo/CHEBI_22586
CHEBI:22695	base	http://purl.obolibrary.org/obo/CHEBI_22695
CHEBI:22712	benzenes	http://purl.obolibrary.org/obo/CHEBI_22712
CHEBI:22728	benzopyrrole	http://purl.obolibrary.org/obo/CHEBI_22728
CHEBI:22744	benzyl group	http://purl.obolibrary.org/obo/CHEBI_22744
CHEBI:228364	NMR chemical shift reference compound	http://purl.obolibrary.org/obo/CHEBI_228364
