Subject	Object
CHEBI:145072	(24R)-ergost-5-en-3beta-yl beta-D-glucopyranoside
CHEBI:146162	(9Z)-hexadec-9-enamide
CHEBI:15075	tetraoxidoselenate(2-)
CHEBI:15075	selenate
CHEBI:15193	rac-(2R,3R)-2,3-dihydroxybutanedioate
CHEBI:15343	acetaldehyde
CHEBI:15343	Acetaldehyde
CHEBI:15343	ACETALDEHYDE
CHEBI:15347	propan-2-one
CHEBI:15354	2-hydroxy-N,N,N-trimethylethanaminium
CHEBI:15356	cysteine
CHEBI:15356	Cysteine
CHEBI:15361	2-oxopropanoate
CHEBI:15365	2-(acetyloxy)benzoic acid
CHEBI:15365	2-(ACETYLOXY)BENZOIC ACID
CHEBI:15366	acetic acid
CHEBI:15366	Acetic acid
CHEBI:15366	ACETIC ACID
CHEBI:15367	(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenoic acid
CHEBI:15368	acrylaldehyde
CHEBI:15368	Acrylaldehyde
CHEBI:15372	2-amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydropteridin-4(3H)-one
CHEBI:15377	water
CHEBI:15377	oxidane
CHEBI:15377	Water
CHEBI:15377	WATER
CHEBI:15379	dioxygen
CHEBI:15379	Oxygen
CHEBI:15414	[(3S)-3-amino-3-carboxypropyl](5'-deoxyadenosin-5'-yl)(methyl)sulfonium
CHEBI:15422	adenosine 5'-(tetrahydrogen triphosphate)
CHEBI:15428	glycine
CHEBI:15428	aminoacetic acid
CHEBI:15428	Glycine
CHEBI:15428	GLYCINE
CHEBI:15428	Aminoacetic acid
CHEBI:15551	(5Z,13E,15S)-11alpha,15-dihydroxy-9-oxoprosta-5,13-dien-1-oic acid
CHEBI:15559	(5Z,8Z,11Z,13E)-15-oxoicosa-5,8,11,13-tetraenoic acid
CHEBI:15559	(5Z,8Z,11Z,13E)-15-Oxoicosa-5,8,11,13-tetraenoic acid
CHEBI:15560	8-{(1S,5S)-4-oxo-5-[(2Z)-pent-2-en-1-yl]cyclopent-2-en-1-yl}octanoic acid
CHEBI:15588	(2R)-2-hydroxybutanedioate
CHEBI:15589	(2S)-2-hydroxybutanedioate
CHEBI:15595	2-hydroxybutanedioate
CHEBI:15598	2-hydroxybutane-1,2,3-tricarboxylate
CHEBI:15611	sarcosine
CHEBI:15611	Sarcosine
CHEBI:15611	SARCOSINE
CHEBI:15676	N-(2,5-dioxoimidazolidin-4-yl)urea
CHEBI:15682	2-(N(omega)-L-arginino)butanedioic acid
CHEBI:15724	N,N-dimethylmethanamine oxide
CHEBI:15727	N(alpha)-(beta-alanyl)-L-histidine
CHEBI:15738	(5S,6R,7R,9R)-6-methoxy-5-methyl-7-methylamino-6,7,8,9,15,16-hexahydro-5H,14H-5,9-epoxy-4b,9a,15-triazadibenzo[b,h]cyclonona[1,2,3,4-jkl]cyclopenta[e]-as-indacen-14-one
CHEBI:15740	formate
CHEBI:15741	succinic acid
CHEBI:15741	butanedioic acid
CHEBI:15741	Succinic acid
CHEBI:15741	SUCCINIC ACID
CHEBI:15756	hexadecanoic acid
CHEBI:15765	L-dopa
CHEBI:15765	L-Dopa
CHEBI:15765	(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid
CHEBI:15767	dichloromethane
CHEBI:15767	Dichloromethane
CHEBI:15793	2-amino-3-hydroxybenzoic acid
CHEBI:15843	(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid
CHEBI:15854	(9R)-6'-methoxy-8alpha-cinchonan-9-ol
CHEBI:15866	2-deoxy-D-arabino-hexose
CHEBI:15866	2-Deoxy-D-arabino-hexose
CHEBI:15882	phenol
CHEBI:15882	Phenol
CHEBI:15882	PHENOL
CHEBI:15889	sterols
CHEBI:15891	2-aminoethanesulfonic acid
