Subject	Object
RO:0002569	RO:0002569
RO:0002570	RO:0002570
RO:0002571	RO:0002571
RO:0002572	RO:0002572
RO:0002576	RO:0002576
RO:0003000	RO:0003000
RO:0003001	RO:0003001
RO:0018033	obo:chebi#is_conjugate_base_of
RO:0018034	obo:chebi#is_conjugate_acid_of
RO:0018036	obo:chebi#is_tautomer_of
RO:0018037	obo:chebi#is_substituent_group_from
RO:0018038	obo:chebi#has_functional_parent
RO:0018039	obo:chebi#is_enantiomer_of
RO:0018040	obo:chebi#has_parent_hydride
RO:0020101	RO:0020101
RO:0020102	RO:0020102
BSPO:0000010	http://upload.wikimedia.org/wikipedia/commons/3/34/Anatomical_Directions_and_Axes.JPG
BSPO:0000018	FMA:12247
BSPO:0000019	FMA:52810
BSPO:0000054	FBql:00005841
BSPO:0000070	FBql:00005841
BSPO:0000400	FMA:242982
BSPO:0000417	FMA:11361
CHEBI:10545	wikipedia.en:Electron
CHEBI:10545	pubmed:21614077
CHEBI:10545	kegg.compound:C05359
CHEBI:134179	wikipedia.en:Volatile_organic_compound
CHEBI:138103	wikipedia.en:Mineral_acid
CHEBI:13850	kegg.compound:C16240
CHEBI:138675	wikipedia.en:https://en.wikipedia.org/wiki/Gas
CHEBI:139120	metacyc.compound:Carotenoid-beta-end-group
CHEBI:13941	gmelin:239604
CHEBI:13941	cas:302-11-4
CHEBI:13941	beilstein:3903503
CHEBI:139588	pubmed:23295224
CHEBI:139588	pubmed:20382022
CHEBI:139588	pubmed:19908854
CHEBI:139588	pubmed:15326516
CHEBI:141668	pubmed:23281040
CHEBI:141668	metacyc.compound:CPD-21526
CHEBI:14321	gmelin:327908
CHEBI:15339	kegg.compound:C16722
CHEBI:15339	kegg.compound:C00028
CHEBI:15354	ymdb:YMDB00227
CHEBI:15354	wikipedia.en:Choline
CHEBI:15354	reaxys:1736748
CHEBI:15354	pubmed:9517478
CHEBI:15354	pubmed:7590654
CHEBI:15354	pubmed:6420466
CHEBI:15354	pubmed:23733158
CHEBI:15354	pubmed:23637565
CHEBI:15354	pubmed:23616508
CHEBI:15354	pubmed:23095202
CHEBI:15354	pubmed:22961562
CHEBI:15354	pubmed:22770225
CHEBI:15354	pubmed:20446114
CHEBI:15354	pubmed:20038853
CHEBI:15354	pubmed:19246089
CHEBI:15354	pubmed:18786520
CHEBI:15354	pubmed:18786517
CHEBI:15354	pubmed:18230680
CHEBI:15354	pubmed:18204095
CHEBI:15354	pubmed:17344490
CHEBI:15354	pubmed:17283071
CHEBI:15354	pubmed:17087106
CHEBI:15354	pubmed:16210714
CHEBI:15354	pubmed:14972364
CHEBI:15354	pubmed:12946691
CHEBI:15354	pubmed:12826235
CHEBI:15354	pubmed:10930630
CHEBI:15354	pdb-ccd:CHT
CHEBI:15354	metacyc.compound:CHOLINE
CHEBI:15354	knapsack:C00007298
CHEBI:15354	kegg.drug:D07690
CHEBI:15354	kegg.compound:C00114
CHEBI:15354	hmdb:HMDB0000097
CHEBI:15354	gmelin:324597
CHEBI:15354	ecmdb:ECMDB00097
CHEBI:15354	drugcentral:3097
CHEBI:15354	drugbank:DB00122
CHEBI:15354	cas:62-49-7
CHEBI:15355	wikipedia.en:Acetylcholine
CHEBI:15355	pubmed:21601579
CHEBI:15355	pubmed:21545631
CHEBI:15355	pubmed:21246223
CHEBI:15355	pubmed:21130809
CHEBI:15355	pubmed:20963497
CHEBI:15355	pubmed:19255787
CHEBI:15355	pubmed:18407448
CHEBI:15355	pubmed:18050502
CHEBI:15355	pubmed:15361288
CHEBI:15355	pubmed:15231705
CHEBI:15355	pubmed:15014918
CHEBI:15355	pubmed:14764638
CHEBI:15355	pdb-ccd:ACH
CHEBI:15355	lincs.smallmolecule:LSM-5888
CHEBI:15355	kegg.compound:C01996
CHEBI:15355	gmelin:326108
CHEBI:15355	drugcentral:65
CHEBI:15355	drugbank:DB03128
CHEBI:15355	cas:51-84-3
CHEBI:15355	beilstein:1764436
CHEBI:15366	wikipedia.en:Acetic_acid
CHEBI:15366	reaxys:506007
CHEBI:15366	pubmed:22173419
CHEBI:15366	pubmed:22153255
CHEBI:15366	pubmed:19469536
CHEBI:15366	pubmed:19416101
CHEBI:15366	pubmed:17190852
CHEBI:15366	pubmed:16774200
CHEBI:15366	pubmed:16630552
CHEBI:15366	pubmed:15107950
CHEBI:15366	pubmed:12005138
CHEBI:15366	ppdb:1333
CHEBI:15366	pdb-ccd:ACY
CHEBI:15366	pdb-ccd:ACT
CHEBI:15366	metacyc.compound:ACET
CHEBI:15366	lipidmaps:LMFA01010002
CHEBI:15366	knapsack:C00001176
CHEBI:15366	kegg.drug:D00010
CHEBI:15366	kegg.compound:C00033
CHEBI:15366	hmdb:HMDB0000042
CHEBI:15366	gmelin:1380
CHEBI:15366	drugcentral:4211
CHEBI:15366	cas:64-19-7
CHEBI:15377	wikipedia.en:Water
CHEBI:15377	reaxys:3587155
CHEBI:15377	pdb-ccd:HOH
CHEBI:15377	molbase:1
CHEBI:15377	metacyc.compound:WATER
CHEBI:15377	kegg.drug:D00001
CHEBI:15377	kegg.compound:C00001
CHEBI:15377	hmdb:HMDB0002111
CHEBI:15377	gmelin:117
CHEBI:15377	cas:7732-18-5
CHEBI:15378	kegg.compound:C00080
CHEBI:15379	wikipedia.en:Oxygen
CHEBI:15379	pubmed:9463773
CHEBI:15379	pubmed:7710549
CHEBI:15379	pubmed:19840863
CHEBI:15379	pubmed:18638417
CHEBI:15379	pubmed:18210929
CHEBI:15379	pubmed:16977326
CHEBI:15379	pubmed:10906528
CHEBI:15379	pdb-ccd:OXY
CHEBI:15379	molbase:750
CHEBI:15379	metacyc.compound:OXYGEN-MOLECULE
CHEBI:15379	kegg.drug:D00003
CHEBI:15379	kegg.compound:C00007
CHEBI:15379	hmdb:HMDB0001377
CHEBI:15379	gmelin:485
CHEBI:15379	cas:7782-44-7
CHEBI:15422	wikipedia.en:Adenosine_triphosphate
CHEBI:15422	reaxys:73010
CHEBI:15422	pdb-ccd:ATP
CHEBI:15422	patent:US3079379
CHEBI:15422	knapsack:C00001491
CHEBI:15422	kegg.drug:D08646
CHEBI:15422	kegg.compound:C00002
CHEBI:15422	hmdb:HMDB0000538
CHEBI:15422	gmelin:34857
CHEBI:15422	drugcentral:91
CHEBI:15422	drugbank:DB00171
CHEBI:15422	cas:56-65-5
CHEBI:15440	wikipedia.en:Squalene
CHEBI:15440	pubmed:25987292
CHEBI:15440	pubmed:25286853
CHEBI:15440	pubmed:25286851
CHEBI:15440	pubmed:24362891
CHEBI:15440	pubmed:23625688
CHEBI:15440	pubmed:16341241
CHEBI:15440	pdb-ccd:SQL
CHEBI:15440	metacyc.compound:SQUALENE
CHEBI:15440	lipidmaps:LMPR0106010002
CHEBI:15440	knapsack:C00003755
CHEBI:15440	kegg.compound:C00751
CHEBI:15440	hmdb:HMDB0000256
CHEBI:15440	cas:111-02-4
CHEBI:15440	beilstein:1728920
CHEBI:15693	wikipedia.en:Aldose
CHEBI:15693	kegg.compound:C01370
CHEBI:15705	kegg.compound:C00151
CHEBI:15734	kegg.compound:C00226
CHEBI:15740	wikipedia.en:Formate
CHEBI:15740	umbbd.compound:c0106
CHEBI:15740	reaxys:1901205
CHEBI:15740	pubmed:3946945
CHEBI:15740	pubmed:17190852
CHEBI:15740	metacyc.compound:FORMATE
CHEBI:15740	kegg.compound:C00058
CHEBI:15740	hmdb:HMDB0000142
CHEBI:15740	gmelin:1006
CHEBI:15740	cas:71-47-6
CHEBI:15841	kegg.compound:C00403
CHEBI:15966	reaxys:1723800
CHEBI:15966	pdb-ccd:DGL
CHEBI:15966	metacyc.compound:D-GLT
CHEBI:15966	knapsack:C00019577
CHEBI:15966	kegg.compound:C00217
CHEBI:15966	hmdb:HMDB0003339
CHEBI:15966	gmelin:201189
CHEBI:15966	drugbank:DB02517
CHEBI:15966	cas:6893-26-1
CHEBI:15986	kegg.compound:C00419
CHEBI:16015	wikipedia.en:L-Glutamic_Acid
CHEBI:16015	reaxys:1723801
CHEBI:16015	pubmed:22735334
CHEBI:16015	pubmed:22219301
CHEBI:16015	pubmed:19581495
CHEBI:16015	pubmed:16892196
CHEBI:16015	pubmed:16719819
CHEBI:16015	pubmed:15930465
CHEBI:16015	pubmed:15739367
CHEBI:16015	pdb-ccd:GLU_LFOH
CHEBI:16015	metacyc.compound:GLT
CHEBI:16015	lincs.smallmolecule:LSM-36375
CHEBI:16015	knapsack:C00001358
CHEBI:16015	kegg.drug:D00007
CHEBI:16015	kegg.compound:C00025
CHEBI:16015	hmdb:HMDB0000148
CHEBI:16015	gmelin:3502
CHEBI:16015	drugcentral:1310
CHEBI:16015	drugbank:DB00142
CHEBI:16015	cas:56-86-0
CHEBI:16015	bpdb:2297
CHEBI:16134	wikipedia.en:Ammonia
CHEBI:16134	reaxys:3587154
CHEBI:16134	pubmed:22560242
CHEBI:16134	pubmed:22443779
CHEBI:16134	pubmed:22385337
CHEBI:16134	pubmed:22342082
CHEBI:16134	pubmed:22290316
CHEBI:16134	pubmed:22240068
CHEBI:16134	pubmed:22150211
CHEBI:16134	pubmed:22130175
CHEBI:16134	pubmed:22100291
CHEBI:16134	pubmed:22088435
CHEBI:16134	pubmed:22081570
CHEBI:16134	pubmed:22002069
CHEBI:16134	pubmed:18670398
CHEBI:16134	pubmed:17737668
CHEBI:16134	pubmed:17569513
CHEBI:16134	pubmed:17439666
CHEBI:16134	pubmed:17025297
CHEBI:16134	pubmed:16842901
CHEBI:16134	pubmed:16664306
CHEBI:16134	pubmed:16614889
CHEBI:16134	pubmed:16349403
CHEBI:16134	pubmed:16348008
CHEBI:16134	pubmed:16050680
CHEBI:16134	pubmed:16008360
CHEBI:16134	pubmed:15969015
CHEBI:16134	pubmed:15554424
CHEBI:16134	pubmed:15094021
CHEBI:16134	pubmed:15092448
CHEBI:16134	pubmed:14663195
CHEBI:16134	pubmed:13753780
CHEBI:16134	pubmed:11783653
CHEBI:16134	pubmed:11746427
CHEBI:16134	pubmed:11540049
CHEBI:16134	pubmed:11139349
CHEBI:16134	pubmed:110589
CHEBI:16134	pdb-ccd:NH3
CHEBI:16134	molbase:930
CHEBI:16134	metacyc.compound:AMMONIA
CHEBI:16134	knapsack:C00007267
CHEBI:16134	kegg.drug:D02916
CHEBI:16134	kegg.compound:C00014
CHEBI:16134	hmdb:HMDB0000051
CHEBI:16134	gmelin:79
CHEBI:16134	drugcentral:4625
CHEBI:16134	cas:7664-41-7
CHEBI:16137	kegg.glycan:G11334
CHEBI:16137	kegg.compound:C00401
CHEBI:16189	wikipedia.en:Sulfate
