Subject	Object
BFO:0000034	NCIt:C25518
BFO:0000034	BFO:function
BTO:0000155	SNOMEDCT:397394009
BTO:0000155	NCIt:C51913
BTO:0000155	MESH:D018893
BTO:0000214	NCIt:C16396
BTO:0000305	NCIt:C61551
BTO:0001383	UBERON:0004103
BTO:0001384	SNOMEDCT:77601007
BTO:0001384	NCIt:C17201
BTO:0001436	NCIt:C79645
BTO:0001436	MESH:D025282
BTO:0001629	NCIt:C12871
BTO:0001630	NCIt:C12870
BTO:0001948	ATCC:TIB-152
BTO:0004687	NCIt:C12347
BTO:0004687	MESH:D009915
CHEBI:10023	wikipedia.en:Voriconazole
CHEBI:10023	pubmed:24102553
CHEBI:10023	pubmed:23766489
CHEBI:10023	pubmed:23527908
CHEBI:10023	pubmed:23392902
CHEBI:10023	pubmed:22718362
CHEBI:10023	pubmed:12940129
CHEBI:10023	patent:US5278175
CHEBI:10023	patent:EP440372
CHEBI:10023	lincs.smallmolecule:LSM-5244
CHEBI:10023	kegg.drug:D00578
CHEBI:10023	kegg.compound:C07622
CHEBI:10023	drugcentral:2846
CHEBI:10023	drugbank:DB00582
CHEBI:10023	cas:137234-62-9
CHEBI:10023	beilstein:7694998
CHEBI:100241	wikipedia.en:Ciprofloxacin
CHEBI:100241	vsdb:1763
CHEBI:100241	reaxys:3568352
CHEBI:100241	pubmed:10737746
CHEBI:100241	pubmed:10397494
CHEBI:100241	pdb-ccd:CPF
CHEBI:100241	patent:US4670444
CHEBI:100241	patent:DE3142854
CHEBI:100241	lincs.smallmolecule:LSM-5226
CHEBI:100241	kegg.drug:D00186
CHEBI:100241	kegg.compound:C05349
CHEBI:100241	hmdb:HMDB0014677
CHEBI:100241	drugcentral:659
CHEBI:100241	drugbank:DB00537
CHEBI:100241	cas:85721-33-1
CHEBI:100241	SNOMEDCT:7577004
CHEBI:100241	SNOMEDCT:372840008
CHEBI:100241	NCIt:C375
CHEBI:100241	MESH:D002939
CHEBI:100246	wikipedia.en:Norfloxacin
CHEBI:100246	vsdb:1831
CHEBI:100246	reaxys:567897
CHEBI:100246	pubmed:6461606
CHEBI:100246	pubmed:6454381
CHEBI:100246	pubmed:6234465
CHEBI:100246	pubmed:6224685
CHEBI:100246	pubmed:6211142
CHEBI:100246	pubmed:3908074
CHEBI:100246	pubmed:3317294
CHEBI:100246	patent:US4292317
CHEBI:100246	patent:US4146719
CHEBI:100246	patent:DE2840910
CHEBI:100246	patent:BE863429
CHEBI:100246	lincs.smallmolecule:LSM-5286
CHEBI:100246	kegg.drug:D00210
CHEBI:100246	kegg.compound:C06687
CHEBI:100246	hmdb:HMDB0015192
CHEBI:100246	gmelin:1576626
CHEBI:100246	drugcentral:1967
CHEBI:100246	drugbank:DB01059
