IRI	Direct	Inherited
http://purl.obolibrary.org/obo/AfPO_0000477	0	0
http://purl.obolibrary.org/obo/AfPO_0000575	0	0
http://purl.obolibrary.org/obo/AfPO_0000576	0	0
http://purl.obolibrary.org/obo/AfPO_0000577	0	0
http://purl.obolibrary.org/obo/AfPO_0000578	0	0
http://purl.obolibrary.org/obo/AfPO_0000265	0	0
http://purl.obolibrary.org/obo/AfPO_0000266	0	0
http://purl.obolibrary.org/obo/AfPO_0000268	0	0
http://purl.obolibrary.org/obo/AfPO_0000284	0	0
http://purl.obolibrary.org/obo/AfPO_0000285	0	0
http://purl.obolibrary.org/obo/AfPO_0000286	0	0
http://purl.obolibrary.org/obo/AfPO_0000290	0	0
http://purl.obolibrary.org/obo/AfPO_0000292	0	0
http://purl.obolibrary.org/obo/AfPO_0000293	0	0
http://purl.obolibrary.org/obo/AfPO_0000296	0	0
http://purl.obolibrary.org/obo/AfPO_0000373	0	0
http://purl.obolibrary.org/obo/AfPO_0000377	0	0
http://purl.obolibrary.org/obo/AfPO_0000390	0	0
http://purl.obolibrary.org/obo/AfPO_0000408	0	0
http://purl.obolibrary.org/obo/AfPO_0000463	0	0
http://purl.obolibrary.org/obo/AfPO_0000467	0	0
http://purl.obolibrary.org/obo/AfPO_0000469	0	0
http://purl.obolibrary.org/obo/AfPO_0000470	0	0
http://purl.obolibrary.org/obo/AfPO_0000472	0	0
http://purl.obolibrary.org/obo/AfPO_0000475	0	0
http://purl.obolibrary.org/obo/AfPO_0000479	0	0
http://purl.obolibrary.org/obo/AfPO_0000482	0	0
http://purl.obolibrary.org/obo/AfPO_0000571	0	0
http://purl.obolibrary.org/obo/AfPO_0000383	0	0
http://purl.obolibrary.org/obo/AfPO_0000389	0	0
http://purl.obolibrary.org/obo/AfPO_0000191	0	0
http://purl.obolibrary.org/obo/AfPO_0000214	0	0
http://purl.obolibrary.org/obo/AfPO_0000356	0	0
http://purl.obolibrary.org/obo/AfPO_0000357	0	0
http://purl.obolibrary.org/obo/AfPO_0000365	0	0
http://purl.obolibrary.org/obo/AfPO_0000087	0	0
http://purl.obolibrary.org/obo/AfPO_00003674	0	0
http://purl.obolibrary.org/obo/AfPO_0000384	0	0
http://purl.obolibrary.org/obo/AfPO_0000386	0	0
http://purl.obolibrary.org/obo/AfPO_0000387	0	0
http://purl.obolibrary.org/obo/AfPO_0000393	0	0
http://purl.obolibrary.org/obo/AfPO_0000394	0	0
